"term","freq"
"i can see",4
"i could be",4
"i could do",4
"i could only",4
"i didnt know",4
"i do love",4
"i do that",4
"i do what",4
"i don't do",4
"i don't see",4
"i feel about",4
"i found it",4
"i get back",4
"i get it",4
"i go to",4
"i grew up",4
"i guess the",4
"i hate being",4
"i have always",4
"i have ever",4
"i have it",4
"i hear the",4
"i hope i",4
"i hope that",4
"i know but",4
"i know how",4
"i know we",4
"i live in",4
"i love being",4
"i love this",4
"i made it",4
"i must say",4
"i need it",4
"i plan on",4
"i really wanted",4
"i said i",4
"i saw a",4
"i see a",4
"i think its",4
"i think my",4
"i thought that",4
"i thought the",4
"i thought you",4
"i told her",4
"i used to",4
"i wanna go",4
"i was like",4
"i was looking",4
"i was not",4
"i was really",4
"i was surprised",4
"i was talking",4
"i will never",4
"i wish you",4
"i wonder how",4
"i would like",4
"i wouldn't be",4
"id like to",4
"if i didn't",4
"if i do",4
"if i don't",4
"if i get",4
"if i have",4
"if i were",4
"if it was",4
"if not the",4
"if we have",4
"if you can",4
"if you could",4
"if you find",4
"if you follow",4
"if you only",4
"if you will",4
"in a bad",4
"in a large",4
"in a moment",4
"in a row",4
"in a small",4
"in a very",4
"in a week",4
"in all the",4
"in both the",4
"in for a",4
"in just a",4
"in my face",4
"in my mind",4
"in my room",4
"in other words",4
"in san diego",4
"in the dark",4
"in the hospital",4
"in the mail",4
"in the market",4
"in the meantime",4
"in the national",4
"in the office",4
"in the region",4
"in the shower",4
"in the studio",4
"in the summer",4
"in the sun",4
"in the village",4
"in there and",4
"is a big",4
"is a bit",4
"is a lot",4
"is all about",4
"is also a",4
"is full of",4
"is going on",4
"is it a",4
"is it just",4
"is it that",4
"is just a",4
"is making me",4
"is not an",4
"is not only",4
"is now a",4
"is part of",4
"is so much",4
"is still a",4
"is such a",4
"is that it",4
"is that they",4
"is the only",4
"is the worst",4
"it's not like",4
"it's not the",4
"it a few",4
"it all the",4
"it and then",4
"it for you",4
"it i can",4
"it is also",4
"it is an",4
"it is and",4
"it is for",4
"it is i",4
"it is more",4
"it is possible",4
"it is so",4
"it is time",4
"it just me",4
"it makes me",4
"it means to",4
"it might be",4
"it needs to",4
"it seems like",4
"it took me",4
"it turns out",4
"it up and",4
"it was going",4
"it was one",4
"it was to",4
"it with a",4
"its been a",4
"join us at",4
"just as i",4
"just had to",4
"keep it up",4
"keep up with",4
"keep you posted",4
"kind of a",4
"know how i",4
"know what a",4
"know what you",4
"know where to",4
"lack of a",4
"last day of",4
"last night and",4
"learn how to",4
"learn more about",4
"leave a comment",4
"let go of",4
"let you know",4
"life is good",4
"like i am",4
"like to be",4
"likely to be",4
"listen to the",4
"little bit of",4
"live up to",4
"long as you",4
"look for a",4
"looks like the",4
"lot of money",4
"love you and",4
"love you so",4
"love your music",4
"make it this",4
"making me feel",4
"many of you",4
"may be a",4
"may be the",4
"may have to",4
"may want to",4
"maybe i should",4
"me for a",4
"me it was",4
"me out of",4
"me to get",4
"means a lot",4
"member of the",4
"might have to",4
"might not be",4
"miss you too",4
"more about the",4
"more of the",4
"more than i",4
"more than one",4
"much better than",4
"my best friend",4
"my love for",4
"my new followers",4
"my version of",4
"my way home",4
"need to find",4
"need to make",4
"never going to",4
"never have to",4
"new york city",4
"no no no",4
"no reason to",4
"none of these",4
"not at all",4
"not in the",4
"not just a",4
"not quite sure",4
"not the same",4
"not want to",4
"now i have",4
"now that i",4
"of a new",4
"of course we",4
